name|set_name|set_code|mtg_id|card_type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|number|rarity|ruling|ability|watermark|
Act of Treason|Gatecrash|GTC|366305|Sorcery||||{2}{R}|3|Matt Stewart|#_Each day uncertainty and rumors spread, and each night attendance at the Juri Revue increases._#|85|C|£10/1/2009 : Act of Treason can target any creature, even one that's untapped or one you already control. £8/15/2010 : Gaining control of a creature doesn't cause you to gain control of any Auras or Equipment attached to it.|Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.||
Adaptive Snapjaw|Gatecrash|GTC|366290|Creature — Lizard Beast|6|2||{4}{G}|5|Tomasz Jedruszek|"Eh, needs more toad."—Gulistan, Simic biomancer|113|C||Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)|Simic|
Aerial Maneuver|Gatecrash|GTC|366294|Instant||||{1}{W}|2|Scott Chou|#_"When you put all of yourself into an attack, without fear or hesitation, in that instant you may attain greatness."_#£#_—Predak, Gateless freemage_#|1|C||Target creature gets +1/+1 and gains flying and first strike until end of turn.||
Ætherize|Gatecrash|GTC|366273|Instant||||{3}{U}|4|Ryan Barger|#_"You can come back once you've learned some manners—and figured out how to reconstitute your physical forms."_#|29|U|£1/24/2013 : An “attacking creature” is one that has been declared as an attacker this combat, or one that was put onto the battlefield attacking this combat. Unless that creature leaves combat, it continues to be an attacking creature through the end of combat step, even if the player it was attacking has left the game, or the planeswalker it was attacking has left combat. There’s no such thing as an attacking creature outside of the combat phase.|Return all attacking creatures to their owner's hand.||
Agoraphobia|Gatecrash|GTC|366258|Enchantment — Aura||||{1}{U}|2|Jim Murray|#_"Everyone in this city is choosing sides. I choose inside."_#|30|U|£1/24/2013 : Only Agoraphobia’s controller can activate its last ability, no matter who controls the creature Agoraphobia’s attached to. £1/24/2013 : Agoraphobia’s last ability can be activated only while it’s on the battlefield. £1/24/2013 : Players don’t have priority to cast spells and activate abilities between combat damage being assigned and being dealt. This means that if you want to return Agoraphobia to its owner’s hand before combat damage is dealt, you must do so before combat damage is assigned (and the creature will no longer get -5/-0).|Enchant creature£Enchanted creature gets -5/-0.£{2}{U}: Return Agoraphobia to its owner's hand.||
Alms Beast|Gatecrash|GTC|366402|Creature — Beast|6|6||{2}{W}{B}|4|Dan Scott|#_Alms-coins are only redeemable at Orzhov businesses._#|141|R|£1/24/2013 : Multiple instances of lifelink are redundant. If a creature that had lifelink already is blocking or blocked by Alms Beast, the controller of that creature won’t gain extra life.|Creatures blocking or blocked by Alms Beast have lifelink.|Orzhov|
Alpha Authority|Gatecrash|GTC|366325|Enchantment — Aura||||{1}{G}|2|Dave Kendall|#_Even the bitterest enemies of the Burning-Tree Clan respect the strength of Borborygmos's rule._#|114|U||Enchant creature£Enchanted creature has hexproof and can't be blocked by more than one creature.||
Angelic Edict|Gatecrash|GTC|366400|Sorcery||||{4}{W}|5|Trevor Claxton|#_The Boros built a prison in the sky where Azorius statutes couldn't restrict their sense of justice._#|2|C||Exile target creature or enchantment.||
Angelic Skirmisher|Gatecrash|GTC|366395|Creature — Angel|4|4||{4}{W}{W}|6|David Rapoza|#_"A keen mind wields an army as a deft hand wields a sword."_#|3|R|£1/24/2013 : You choose which ability creatures you control will gain when Angelic Skirmisher’s ability resolves. This happens before attacking creatures are declared. £1/24/2013 : Only creatures you control when the ability resolves will gain the chosen ability. Creatures that come under your control later in the turn will not gain the ability.|Flying£At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.||
Armored Transport|Gatecrash|GTC|366344|Artifact Creature — Construct|2|1||{3}|3|Cliff Childs|#_"If only our jails were as secure."_#£#_—Arrester Lavinia, Tenth Precinct_#|226|C||Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.||
